Item	Bezeichnung	ist ein	lat	lon	Straße
Q105975737	Schule Wedeler Landstraße	Schulgebäude	53.5816	9.76289	Wedeler Landstraße 2
Q108892593	Schule Lange Striepen	Schulgebäude	53.47686	9.88597	Lange Striepen 51
Q107740390	Synagoge Newe Schalom (Altona)	Synagoge	53.547588	9.947648	
Q2328173	Stadtteilschule Winterhude	Schulgebäude	53.58721111	10.02751111	Meerweinstraße 26 – 28, 22303 Hamburg
Q617501	U-Bahnhof Hallerstraße	U-Bahnhof	53.57284444444444	9.988997222222222	
Q2604966	Zum Silbersack	Kneipe	53.5488627	9.95996475	Silbersackstraße 9, 20359 Hamburg
Q109689441	Lighthouse Zero	Wohngebäude	53.538401	10.004143	
Q107177097	Schule Dempwolffstraße	Schulgebäude	53.45875	9.96419	Dempwolffstraße 7
Q111127803	Schule Barlachstraße	Schulgebäude	53.45784	9.971	Barlachstraße 16
Q21528852	Unterelbebahnhof	Bahnhof	53.4651299	9.9779252	
Q684932	Rote Flora	Autonomes Zentrum	53.56199	9.9615	Schulterblatt 71, 20357 Hamburg
Q436110	Alte Post (Hamburg)	Gebäude	53.55194444	9.99083333	
Q69076297	Reisners Ballsäle	Mehrzweckhalle	53.57196	10.06962	
Q1480053	Nobistor	Stadttor	53.55	9.95611111	
Q107292980	Schule Marmstorf	Schulgebäude	53.43852	9.96397	Ernst-Bergeest-Weg 54
Q108198266	Grundschule am Kiefernberg	Schulgebäude	53.46058	9.95565	Weusthoffstraße 95
Q66317581	Schule Lämmersieth	Grundschule	53.58786	10.06067	
Q28949662	Stadtteilschule am Heidberg	Schule in öffentlicher Trägerschaft	53.670681	10.028734	Tangstedter Landstraße 300
Q98119872	Schule Archenholzstraße	Schulgebäude	53.54425	10.11929	Archenholzstraße 55
Q67080552	Schule Lutterothstraße	Schulgebäude	53.58139	9.95322	Lutterothstraße 34/36
Q15854588	Wilhelmsburger Krankenhaus Groß-Sand	Krankenhaus	53.5047106	9.986061	
Q78491795	St. Bernard	Kirchengebäude	53.655227	10.098648	Langenstücken 40
Q69997193	Schulstandort Holstenhof	Schulgebäude	53.56657	10.1044	
Q96080443	Schule Schenefelder Landstraße	Schulgebäude	53.57729	9.82544	
Q65891936	Clara-Grunwald-Schule	Grundschule	53.48581	10.15292	
Q57759634	Delphi Showpalast	Nachtclub	53.5658	9.95807	Eimsbütteler Chaussee 5, Hamburg
Q800878	Bahnhof Hamburg-Wilhelmsburg	S-Bahnstation	53.498889	10.006944	Wilhelm-Strauss-Weg 1
Q99693647	Schule Schulbergredder 13	Schulgebäude	53.65748	10.08144	
Q2132543	Rathaus Harburg	Rathaus	53.45944444	9.97972222	
Q663819	Flugplatz Hamburg-Finkenwerder	Fabrik	53.535833	9.836944	
Q105723288	Billwerder Billdeich 622	Schulgebäude	53.49375	10.18302	Billwerder Billdeich 622
Q15851861	U-Bahnhof Langenhorn Markt	U-Bahnhof	53.6489	10.0172	
