Typ	Wikidata	Wikidata	Wikidata	Wikidata	Wikidata
Kriegerdenkmal (Kriegerdenkmal 1914/ 18; hier Findling mit Tafel einschließlich Einfriedung und Hecke)	1
Straßenschild	1
Luftschutzbau	1
Gärtner- bzw. Kutscherhaus; Einfriedung	1
Denkmal (Denkmal für die Erhebung Schleswig-Holsteins 1848)	1
Kriegerdenkmal (Kriegerdenkmal 1914/ 18 und 1939/ 45) (Findling)	1
Denkmal (Gedenkstein/ Stele)	1
Etagenhaus (mit Laden); Vorplatz	1
Schulanlage <Schulgebäude; Außenanlagen (u.a. Einfriedung)>	1
Wohnhaus (mit Apotheke)	1
Fischerhaus (Tweehus-Hälfte)	1
Badeanstalt (Hallenbad); Filterhaus	1
Schule (Oberrealschule)	1
Mehrfamilienhaus (mit Laden, Handwerksbetrieb (Fleischerei))	1
Verwaltungsgebäude (Versicherung); Mehrfamilienwohnhaus	1
Fabrikanlage (Fleischwarenfabrik)	1
Polizeiwache (Normalpolizeiwache)	1
Bahnhof (U-Bahn) <Bahnhofshalle (oberirdisch); U-Bahnstation; Ladenzeile>	1
Mehrfamilienhaus; Werkstatt	1
Mehrfamilienhaus (mit Werkstatt, zugl. Hinterhaus)	1
Etagenhaus (vermutl.)	1
Wohnhaus (Villa mit Remise)	1
Bahnhof (Fernbahn/ S-Bahn)	1
Funkorgel	1
Apothekeneinrichtung (wandfeste Ausstattung, bewegliches Inventar und Offizin)	1
Doppelhaus (Sommerhaus)	1
Schule (Handelsschule); Einfriedung	1
Siedlungsbau/ Etagenhaus	1
Stift (Stiftsgebäude)	1
Mehrfamilienhaus (mit Laden); Einfriedung (Nr. 77)	1
Mehrfamilienhaus (mit Laden); Einfriedung (Nr. 48)	1
Mehrfamilienhaus (mit Laden); Einfriedung (Nr. 42)	1
Etagenhaus (Hofbebauung)	1
Verwaltungsgebäude (Finanzamt)	1
Gesellschaftshaus	1
Allee	1
Wohngebäude (Reihenhaus)	1
Villa {Verwaltungsgebäude (nach Zusammenfassung und Umnutzung)}	1
Begrünter Innenhof	1
Viadukt (mit Kasematten)	1
Remisen {Bürogebäude (nach Aufstockung)}	1
Wohnhaus/ Geschäftshaus (vermutl.)	1
Lehrgebäude (Institutsgebäude/ Hörsaalgebäude)	1
Bunkerhaus {Institutsgebäude (nach Umnutzung)}	1
Bibliotheksgebäude	1
Stall/ Garage/ Remise {Institutsgebäude (nach Umnutzung)}	1
Schulgebäude {Bibliothek (nach Umnutzung)}	1
Probstei/ Kirchenkreishaus	1
Kate; Vorgarten	1
Mühle (Holländerwindmühle, Dampfmühle)	1
Einfamilienhaus (Villa) {Mehrfamilienhaus (nach Umnutzung)}	1
Mehrfamilienhaus; Garagen; Außenanlage (rückwärtig)	1
Fassade mit Dachansicht (Etagenhaus)	1
Verwaltungsgebäude/ Mehrzweckgebäude	1
Lehrgebäude/ Hörsaalgebäude	1
Hochbahnviadukt	1
Etagenhaus (Typ Hamburger Burg)	1
Werk- und Armenhaus	1
Hofeinfahrtssteine	1
Warteschule/ Krippe	1
Wohngebäude (Sommerhaus bzw. Jagdhaus in der Art eines Bauernhaus)	1
Wohnhaus/ Werkstatt (Weberei)	1
Wohnhaus (Gästehaus; Sommerhaus)	1
Tierpark	1
Denkmalanlage <Findling; Baum>	1
Einfamilienhaus (nur Äußeres/ Fassaden)	1
Kloster	1
Reihenvilla (Endhaus)	1
Wäscherei	1
Verwaltungsgebäude (Hochhaus)	1
Wohnhaus (mit Kontorräumen)	1
Mehrfamilienhaus; Betriebsgebäude	1
Villa {Rathaus (nach Erweiterung/ nach Umbau)}	1
Betriebswerk <Betriebsgebäude>	1
Park; Parkausstattung <Pavillon; Teich; u.a.>	1
Kirchengebäude (Notkirche, Einbau in Kirchenruine)	1
Institutsgebäude/ Bibliothek	1
Treppenbrücke	1
Wohngebäude (Handwerkerhaus)	1
Denkmal (Kriegerdenkmal 1870/71; Gegendenkmal)	1
Kiosk/ Toilettenhäuschen	1
Etagenhau/ Geschäftshaus	1
Heim	1
Wohngebäude/ Schulungsgebäude	1
Dienstwohnhaus (Schwesternhaus)	1
Krankenhausgebäude/ Institutsgebäude	1
Krankenhausgebäude (mit Operationssaal und Hörsaal)	1
Stüzmauer; Grünanlage	1
Fernmeldezeugamt	1
Etagenhaus (Wohnstiftung)	1
Wohngebäude (Hinterhaus),Wohngebäude (Hinterhaus, Wohnterrasse)	1
