ID	Commonscat
24163	Altenwohnanlage, Daniel-Schutte-Stiftung, Höpen 11
28827	Immenhöven 25, 27
28829	Immenhöven 33, 35
30985	Käkenkamp 2–4
24396	Käkenkamp 2
24237	Käkenkamp 4
24401	SchröderKapelle Kiwittsmoor 24a
30979	Kreuzfurth-Siedlung
24169	Stadthaus Langenhorner Chaussee 115
30987	Ansgarkirche (Hamburg-Langenhorn)
24451	Organ of Ansgarkirche, Hamburg-Langenhorn
29630	Ehemaliges Mütterheim, Langenhorner Chaussee 321
24236	Tankstelle Langenhorner Chaussee 652
24171	Tangstedter Landstraße 26
28994	Lagergebäude, Tangstedter Landstraße 205
24411	Broder-Hinrick-Kirche (Hamburg-Langenhorn)
29632	Gasthaus Zum Wattkorn, Tangstedter Landstraße 230
28934	Mehrfamilienhäuser Hogenlitgrund, Tangstedter Landstraße
24398	Krankenhaus Heidberg HH-Langenhorn
28837	Timmerloh 5, 7
28847	Timmerloh 24, 26
29275	Fritz-Schumacher-Schule
28849	Turnhalle, Timmerloh 32
28850	Timmerloh 32a
14816	Grünanlage Willersweg
28741	Wördenmoorweg 99, 101
29691	Kriegerdenkmal Lemsahl
45499	Studentenwohnheim Billwiese
26242	Boundary stone Herzog-Carl-Friedrich-Platz
29807	Schule Leuschnerstraße
31133	Erlöserkirche (Hamburg-Lohbrügge)
26246	Mausoleum Bergner
26244	Erlöserkirche (Hamburg-Lohbrügge)
26247	Alter Friedhof (Hamburg-Lohbrügge)
26245	Wasserturm Lohbrügge
29808	St.-Christophorus-Kirche (Hamburg-Lohbrügge)
45475	Ulmenliet 20
30697	Christ-König-Kirche (Hamburg-Lokstedt)
20096	Christ-König-Kirche (Hamburg-Lokstedt)
30698	Kriegerdenkmal Grandweg
20107	Amsinck-Villa
19850	Grenzmarkierung Eidelstedter Weg (Hamburg-Lokstedt)
30701	Wohnanlage Heimat
20099	Kriegerdenkmal Grandweg
29568	Schule Hinter der Lieth
