ID	Adresse	Geogr. Br.	Geogr. Lg.	PLZ
13798	Sievekingsallee o.Nr.	53.557861	10.06065	20535
13799	Südkanal	53.547003	10.032923	20537
13800	Anckelmannsplatz o.Nr.	53.552074	10.028109	20537
13804	Zweite Ausschläger Brücke o.Nr.	53.548282	10.037744	20537
13807	Sachsenkamp o.Nr. hinter Nr. 5	53.546495	10.02144	20097
13810	Horner Weg o.Nr. gegenüber von Nr. 3-9	53.55587	10.056745	20535
13811	Horner Weg o.Nr. gegenüber von Nr. 11-19	53.555803	10.057195	20535
13830	Alsterarkaden o.Nr.	53.551794	9.991985	20354
13834	Steendiek o.Nr.	53.533471	9.877902	21129
13837	Ellerntorsbrücke o.Nr.	53.550013	9.98492	20355
13854	Englische Planke o.Nr.	53.548486	9.978395	20459
13896	Koppel 17d	53.558191	10.008388	20099
13903	Koppel 17k|Koppel 17l|Koppel 17m	53.557609	10.008537	20099
13917	St. Georgs Kirchhof o.Nr. in der Vorhalle der Heiligen-Dreieinigkeits-Kirche	53.556356	10.007945	20099
13965	Platz der Republik o.Nr. vor dem Rathaus	53.547473	9.935394	22765
13971	Behnstraße o.Nr. im Schleepark|Königstraße o.Nr. im Schleepark	53.547813	9.94261	22767
13980	St. Georgstraße 1	53.555955	10.007138	20099
13981	St. Georgstraße 3|St. Georgstraße 7	53.556019	10.007006	20099
13982	St. Georgstraße 4	53.556191	10.007142	20099
