ID	Adresse	Geogr. Br.	Geogr. Lg.
17466	Am Krähenberg o.Nr.|Blankeneser Landstraße o.Nr.|Goßlers Park o.Nr.|Goßlerstraße o.Nr.	53.56575	9.809396
17470	Elbchaussee o.Nr.|Gätgensstraße o.Nr.|Pepers Diek o.Nr.	53.560546	9.819733
17471	Elbchaussee o.Nr.|Gätgensstraße o.Nr.|Pepers Diek o.Nr.	53.560546	9.819733
17530	Christian-F.-Hansen-Straße o.Nr.	53.550234	9.860448
17534	Quellental o.Nr. westlich von Nr. 36	53.552655	9.858135
17568	Beckers Treppe 5	53.558816	9.808657
17666	Bei der Christuskirche o.Nr. o. Nr.	53.569782	9.961816
17727	Gasstraße  o.Nr., östlich von Nr. 2	53.561328	9.918736
17760	Gasstraße o.Nr.	53.560631	9.917769
17761	Gasstraße  o.Nr., östlich von Nr. 2a	53.560901	9.917603
17763	Hellgrundweg o.Nr. in der Ostkurve des Sportplatzes (nördlich der Ecke August-Kirch-Straße/ Max-Schmeling-Straße)	53.584757	9.901801
17764	Lutherhöhe o.Nr. auf einem Hügel im Lutherpark	53.571895	9.904745
17765	Hellgrundweg o.Nr. südöstlich von Nr. 45	53.589812	9.89504
17800	Bornkampsweg o.Nr.|Regerstraße o.Nr.	53.569411	9.91623
17808	Holstenkamp o.Nr. nordöstlich von Nr. 82, auf dem Neuen Mennonitenfriedhof	53.571715	9.916034
17890	Fischers Allee o.Nr. südlich von Nr. 63	53.550114	9.921905
17902	Baron-Voght-Straße o.Nr. östlich von Nr. 189|Bei der Flottbeker Kirche o.Nr.	53.565588	9.876709
18022	Elbe|Elbtunnel	53.545561	9.913094
18047	Groß Flottbeker Straße o.Nr.	53.568817	9.879247
18049	Haus Christiansen	53.561921	9.89303
18080	Sülldorfer Kirchenweg 38	53.567617	9.81084
18091	Oesterleystraße 22 im Gebäude	53.562146	9.807552
18134	Blankeneser Bahnhofstraße o.Nr.|Oesterleystraße o.Nr.	53.560776	9.811004
18135	Bismarckstein o.Nr. in der Grünanlage	53.561027	9.794024
18136	Bismarckstein o.Nr. in der Grünanlage	53.561282	9.797387
18137	Bismarckstein o.Nr. in der Grünanlage	53.561779	9.797767
18158	Mittelweg o.Nr.	53.562786	9.991638
